File,RelPath,Severity,Encoding,Arabic Chars,AR Ratio,Size KB,Issues
EFR-002-r0a.htm,Ar_appr_docs\Ar_ad_pc\ad_pc_docs\EFR-002-r0a.htm,ERROR,utf-8,38,18%,29,[WARN] Old charset: text/html; charset=windows-1256 — upgrade to UTF-8 | [ERROR] Very little Arabic content: 38 chars — file may be empty/untranslated
EFR-003-r0a.htm,Ar_appr_docs\Ar_ad_pc\ad_pc_docs\EFR-003-r0a.htm,ERROR,utf-8,38,6%,37,[WARN] Old charset: text/html; charset=windows-1256 — upgrade to UTF-8 | [ERROR] Very little Arabic content: 38 chars — file may be empty/untranslated
Gn-001-r0a.htm,Ar_appr_docs\Ar_ad_trans\ad_il_docs\Arabic version\Gn-001-r0a.htm,ERROR,utf-8,0,0%,1,"[WARN] <html> tag missing dir=""rtl"" | [ERROR] Very little Arabic content: 0 chars — file may be empty/untranslated"
T-032-r0a.htm,Ar_appr_docs\Ar_ad_subst\ad_ss_docs\T-032-r0a.htm,ERROR,utf-8,6,25%,16,[WARN] Old charset: text/html; charset=windows-1256 — upgrade to UTF-8 | [ERROR] Very little Arabic content: 6 chars — file may be empty/untranslated
T-033-r0a.htm,Ar_appr_docs\Ar_ad_subst\ad_ss_docs\T-033-r0a.htm,ERROR,utf-8,0,0%,33,[WARN] Old charset: text/html; charset=windows-1256 — upgrade to UTF-8 | [ERROR] Very little Arabic content: 0 chars — file may be empty/untranslated
TD-Oil-012-r0a.htm,Ar_draf_docs\Ar_draf_chem\Ar_draf_chm\TD-Oil-012-r0a.htm,ERROR,utf-8,0,0%,496,"[WARN] Old charset: text/html; charset=windows-1256 — upgrade to UTF-8 | [WARN] <html> tag missing dir=""rtl"" | [ERROR] Very little Arabic content: 0 chars — file may be empty/untranslated"
TL-tmp2-r0a.htm,Ar_appr_docs\Ar_ad_trans\ad_il_docs\TL-tmp2-r0a.htm,ERROR,utf-8,0,0%,27,[WARN] Old charset: text/html; charset=windows-1256 — upgrade to UTF-8 | [ERROR] Very little Arabic content: 0 chars — file may be empty/untranslated
header.htm,Ar_draf_docs\Ar_draf_chem\Ar_draf_chm\TD-Oil-012-r0a.files\header.htm,ERROR,utf-8,0,0%,12,"[WARN] Old charset: text/html; charset=windows-1256 — upgrade to UTF-8 | [WARN] <html> tag missing dir=""rtl"" | [ERROR] Very little Arabic content: 0 chars — file may be empty/untranslated"
td-tl-004-r0a.htm,Ar_appr_docs\Ar_ad_trans\ad_il_docs\Arabic version\td-tl-004-r0a.htm,ERROR,utf-8,5,45%,1,"[WARN] Old charset: text/html; charset=windows-1252 — upgrade to UTF-8 | [WARN] <html> tag missing dir=""rtl"" | [ERROR] Very little Arabic content: 5 chars — file may be empty/untranslated"
Ar_whatsnew_03.htm,Ar_whatsnew\Ar_whatsnew_03.htm,WARN,utf-8,7168,90%,115,[WARN] No CSS stylesheet link found
CB-140-r0a.htm,Ar_appr_docs\Ar_ad_subst\ad_ss_docs\CB-140-r0a.htm,WARN,utf-8,10839,81%,345,[WARN] Untranslated English procedure words: Bushing(1x)
OCR-007-r0a.htm,Ar_appr_docs\Ar_ad_pc\ad_pc_docs\OCR-007-r0a.htm,WARN,utf-8,68,8%,39,[WARN] Low Arabic ratio 8% — may have untranslated English procedures
OCR-008-r0a.htm,Ar_appr_docs\Ar_ad_pc\ad_pc_docs\OCR-008-r0a.htm,WARN,utf-8,68,13%,27,[WARN] Low Arabic ratio 13% — may have untranslated English procedures
TC-004-r0a.htm,Ar_appr_docs\Ar_ad_subst\ad_ss_docs\TC-004-r0a.htm,WARN,utf-8,162,16%,57,[WARN] Low Arabic ratio 16% — may have untranslated English procedures
TD-SS-003-r2a.htm,Ar_appr_docs\Ar_ad_subst\ad_ss_docs\TD-SS-003-r2a.htm,WARN,utf-8,89,21%,30,[WARN] Low Arabic ratio 21% — may have untranslated English procedures
ds-030-r0a.htm,Ar_appr_docs\Ar_ad_subst\ad_ss_docs\ds-030-r0a.htm,WARN,utf-8,187,16%,33,[WARN] Low Arabic ratio 16% — may have untranslated English procedures | [WARN] Untranslated English procedure words: Disconnect(2x)
header.htm,Ar_appr_docs\Ar_ad_trans\ad_il_docs\Arabic version\Ins-003-r1a+ LITL06_files\header.htm,WARN,utf-8,110,96%,12,"[WARN] Old charset: text/html; charset=windows-1252 — upgrade to UTF-8 | [WARN] <html> tag missing dir=""rtl"""
whatsnew_02.htm,Ar_whatsnew\whatsnew_02.htm,WARN,utf-8,24871,95%,332,[WARN] No CSS stylesheet link found
A_draf_gen.htm,Ar_draf_docs\Ar_draf_gen\A_draf_gen.htm,OK,utf-8,463,73%,50,
A_form.htm,Ar_forms\A_form.htm,OK,utf-8,468,86%,11,
Ar_Distrib_Board.htm,Ar_appr_docs\Ar_ad_subst\new_pages\Ar_Distrib_Board.htm,OK,utf-8,567,93%,7,
Ar_Index.htm,Ar_Index.htm,OK,utf-8,1493,86%,18,
Ar_SSdraf.htm,Ar_draf_docs\Ar_draf_subst\Ar_SSdraf.htm,OK,utf-8,298,91%,13,
Ar_about.htm,Ar_about\Ar_about.htm,OK,utf-8,3728,97%,21,
Ar_ad_Batteries.htm,Ar_appr_docs\Ar_ad_subst\new_pages\Ar_ad_Batteries.htm,OK,utf-8,942,84%,17,
Ar_ad_Busbars.htm,Ar_appr_docs\Ar_ad_subst\new_pages\Ar_ad_Busbars.htm,OK,utf-8,603,89%,9,
Ar_ad_CBs.htm,Ar_appr_docs\Ar_ad_subst\new_pages\Ar_ad_CBs.htm,OK,utf-8,1862,83%,41,
Ar_ad_CT_PT_LA.htm,Ar_appr_docs\Ar_ad_subst\new_pages\Ar_ad_CT_PT_LA.htm,OK,utf-8,713,91%,8,
Ar_ad_DS_ES.htm,Ar_appr_docs\Ar_ad_subst\new_pages\Ar_ad_DS_ES.htm,OK,utf-8,786,84%,16,
Ar_ad_TB-SS+PS.htm,Ar_appr_docs\Ar_ad_subst\new_pages\Ar_ad_TB-SS+PS.htm,OK,utf-8,569,93%,7,
Ar_ad_TD-SS+PS.htm,Ar_appr_docs\Ar_ad_subst\new_pages\Ar_ad_TD-SS+PS.htm,OK,utf-8,570,89%,9,
Ar_ad_Trafo.htm,Ar_appr_docs\Ar_ad_subst\new_pages\Ar_ad_Trafo.htm,OK,utf-8,1704,91%,32,
Ar_ad_chem.htm,Ar_appr_docs\Ar_ad_chem\Ar_ad_chem.htm,OK,utf-8,284,93%,13,
Ar_ad_compressors.htm,Ar_appr_docs\Ar_ad_subst\new_pages\Ar_ad_compressors.htm,OK,utf-8,557,93%,7,
Ar_ad_condensers.htm,Ar_appr_docs\Ar_ad_subst\new_pages\Ar_ad_condensers.htm,OK,utf-8,544,91%,7,
Ar_ad_pc.htm,Ar_appr_docs\Ar_ad_pc\Ar_ad_pc.htm,OK,utf-8,1478,78%,63,
Ar_ad_subst.htm,Ar_appr_docs\Ar_ad_subst\Ar_ad_subst.htm,OK,utf-8,2588,85%,96,
Ar_ad_tap_changers.htm,Ar_appr_docs\Ar_ad_subst\new_pages\Ar_ad_tap_changers.htm,OK,utf-8,570,88%,9,
Ar_ad_trans.htm,Ar_appr_docs\Ar_ad_trans\Ar_ad_trans.htm,OK,utf-8,818,94%,28,
Ar_appr_doc.htm,Ar_appr_docs\Ar_appr_doc.htm,OK,utf-8,967,96%,17,
Ar_draf_chem.htm,Ar_draf_docs\Ar_draf_chem\Ar_draf_chem.htm,OK,utf-8,1217,82%,31,
Ar_draf_doc.htm,Ar_admin_inst\Ar_draf_doc.htm,OK,utf-8,571,92%,10,
Ar_draf_doc.htm,Ar_draf_docs\Ar_draf_doc.htm,OK,utf-8,194,94%,12,
Ar_draf_pc.htm,Ar_draf_docs\Ar_draf_PC\Ar_draf_pc.htm,OK,utf-8,740,80%,37,
Ar_draf_tl.htm,Ar_draf_docs\Ar_draf_trans\Ar_draf_tl.htm,OK,utf-8,415,97%,14,
Ar_index_old.htm,Ar_index_old.htm,OK,utf-8,463,94%,13,
Ar_sample mpis_PC.htm,Ar_draf_docs\Ar_draf_PC\Ar_draf_pc\Ar_sample mpis_PC.htm,OK,utf-8,483,94%,15,
Ar_whatsnew.htm,Ar_whatsnew\Ar_whatsnew.htm,OK,utf-8,476,92%,6,
B-031-r0a.htm,Ar_appr_docs\Ar_ad_subst\ad_ss_docs\B-031-r0a.htm,OK,utf-8,2383,83%,337,
BB-001-r0a.htm,Ar_appr_docs\Ar_ad_subst\ad_ss_docs\BB-001-r0a.htm,OK,utf-8,3166,99%,71,
BB-001-r0a_old.htm,Ar_appr_docs\Ar_ad_subst\ad_ss_docs\BB-001-r0a_old.htm,OK,utf-8,1238,98%,34,
BB-002-r0a.htm,Ar_appr_docs\Ar_ad_subst\ad_ss_docs\BB-002-r0a.htm,OK,utf-8,2693,99%,47,
BB-003-r0a.htm,Ar_appr_docs\Ar_ad_subst\ad_ss_docs\BB-003-r0a.htm,OK,utf-8,2195,65%,73,
BFR-004-r0a.htm,Ar_appr_docs\Ar_ad_pc\ad_pc_docs\BFR-004-r0a.htm,OK,utf-8,2012,58%,101,
C-001-r0a.htm,Ar_appr_docs\Ar_ad_subst\ad_ss_docs\C-001-r0a.htm,OK,utf-8,1693,96%,43,
CB-153-r0a.htm,Ar_appr_docs\Ar_ad_subst\ad_ss_docs\CB-153-r0a.htm,OK,utf-8,2417,98%,51,
CB-154-r0a.htm,Ar_appr_docs\Ar_ad_subst\ad_ss_docs\CB-154-r0a.htm,OK,utf-8,2304,98%,48,
CB-155-r0a.htm,Ar_appr_docs\Ar_ad_subst\ad_ss_docs\CB-155-r0a.htm,OK,utf-8,2007,98%,40,
CB-156-r0a.htm,Ar_appr_docs\Ar_ad_subst\ad_ss_docs\CB-156-r0a.htm,OK,utf-8,1995,98%,38,
CB-157-r0a.htm,Ar_appr_docs\Ar_ad_subst\ad_ss_docs\CB-157-r0a.htm,OK,utf-8,1810,95%,43,
CB-225-r0a.htm,Ar_appr_docs\Ar_ad_subst\ad_ss_docs\CB-225-r0a.htm,OK,utf-8,4590,86%,92,
CB-226-r0a.htm,Ar_appr_docs\Ar_ad_subst\ad_ss_docs\CB-226-r0a.htm,OK,utf-8,4786,97%,87,
CB-227-r0a.htm,Ar_appr_docs\Ar_ad_subst\ad_ss_docs\CB-227-r0a.htm,OK,utf-8,1356,99%,40,
CB-246-r0a.htm,Ar_appr_docs\Ar_ad_subst\ad_ss_docs\CB-246-r0a.htm,OK,utf-8,1247,91%,34,
CB-247-r0a.htm,Ar_appr_docs\Ar_ad_subst\ad_ss_docs\CB-247-r0a.htm,OK,utf-8,1102,92%,33,
CB-248-r0a.htm,Ar_appr_docs\Ar_ad_subst\ad_ss_docs\CB-248-r0a.htm,OK,utf-8,1220,85%,40,
CB-249-r0a.htm,Ar_appr_docs\Ar_ad_subst\ad_ss_docs\CB-249-r0a.htm,OK,utf-8,1755,97%,47,
CT-014-r0a.htm,Ar_appr_docs\Ar_ad_subst\ad_ss_docs\CT-014-r0a.htm,OK,utf-8,2378,99%,54,
DFR-026-r0a.htm,Ar_appr_docs\Ar_ad_pc\ad_pc_docs\DFR-026-r0a.htm,OK,utf-8,2357,75%,144,
DMP-001-r0a.htm,Ar_appr_docs\Ar_ad_pc\ad_pc_docs\DMP-001-r0a.htm,OK,utf-8,2532,68%,104,
DS-043-r0a.htm,Ar_appr_docs\Ar_ad_subst\ad_ss_docs\DS-043-r0a.htm,OK,utf-8,1983,70%,88,
DfR-014-r0a.htm,Ar_appr_docs\Ar_ad_pc\ad_pc_docs\DfR-014-r0a.htm,OK,utf-8,1374,87%,43,
DfR-039-r0a.htm,Ar_appr_docs\Ar_ad_pc\ad_pc_docs\DfR-039-r0a.htm,OK,utf-8,2737,76%,102,
DfR-043-r0a.htm,Ar_appr_docs\Ar_ad_pc\ad_pc_docs\DfR-043-r0a.htm,OK,utf-8,1929,58%,91,
DsR-026-r0a.htm,Ar_appr_docs\Ar_ad_pc\ad_pc_docs\DsR-026-r0a.htm,OK,utf-8,2111,75%,74,
EFR -019-r0a.htm,Ar_appr_docs\Ar_ad_pc\ad_pc_docs\EFR -019-r0a.htm,OK,utf-8,1683,74%,59,
EFR-004-r0a.htm,Ar_appr_docs\Ar_ad_pc\ad_pc_docs\EFR-004-r0a.htm,OK,utf-8,58,32%,28,
EFR-010-r0a.htm,Ar_appr_docs\Ar_ad_pc\ad_pc_docs\EFR-010-r0a.htm,OK,utf-8,1042,69%,39,
EFR-011-r0a.htm,Ar_appr_docs\Ar_ad_pc\ad_pc_docs\EFR-011-r0a.htm,OK,utf-8,1237,70%,42,
EFR-012-r0a.htm,Ar_appr_docs\Ar_ad_pc\ad_pc_docs\EFR-012-r0a.htm,OK,utf-8,1434,69%,62,
EFR-013-r0a.htm,Ar_appr_docs\Ar_ad_pc\ad_pc_docs\EFR-013-r0a.htm,OK,utf-8,1398,68%,44,
EFR-021-r0a.htm,Ar_appr_docs\Ar_ad_pc\ad_pc_docs\EFR-021-r0a.htm,OK,utf-8,1425,86%,46,
FS-031-r0a.htm,Ar_appr_docs\Ar_ad_subst\ad_ss_docs\FS-031-r0a.htm,OK,utf-8,70,64%,29,
GVR-001-r0a.htm,Ar_appr_docs\Ar_ad_pc\ad_pc_docs\GVR-001-r0a.htm,OK,utf-8,1388,81%,60,
Ins-003-r1a+ LITL06.htm,Ar_appr_docs\Ar_ad_trans\ad_il_docs\Arabic version\Ins-003-r1a+ LITL06.htm,OK,utf-8,3678,99%,112,
LOE-001-r0a.htm,Ar_appr_docs\Ar_ad_pc\ad_pc_docs\LOE-001-r0a.htm,OK,utf-8,1315,68%,46,
MPIS TP 2001.htm,Ar_forms\MPIS TP 2001.htm,OK,utf-8,514,98%,25,
OCR-012-r0a.htm,Ar_appr_docs\Ar_ad_pc\ad_pc_docs\OCR-012-r0a.htm,OK,utf-8,1526,59%,59,
OCR-028-r0a.htm,Ar_appr_docs\Ar_ad_pc\ad_pc_docs\OCR-028-r0a.htm,OK,utf-8,1637,68%,76,
OCR-029-r0a.htm,Ar_appr_docs\Ar_ad_pc\ad_pc_docs\OCR-029-r0a.htm,OK,utf-8,2211,81%,70,
OCR-052-r0a.htm,Ar_appr_docs\Ar_ad_pc\ad_pc_docs\OCR-052-r0a.htm,OK,utf-8,2108,78%,81,
OCR-060-r0a.htm,Ar_appr_docs\Ar_ad_pc\ad_pc_docs\OCR-060-r0a.htm,OK,utf-8,2180,79%,92,
OCR-061-r0a.htm,Ar_appr_docs\Ar_ad_pc\ad_pc_docs\OCR-061-r0a.htm,OK,utf-8,2456,83%,130,
OCR-062-r0a.htm,Ar_appr_docs\Ar_ad_pc\ad_pc_docs\OCR-062-r0a.htm,OK,utf-8,1553,83%,57,
OFR-002-r0a.htm,Ar_appr_docs\Ar_ad_pc\ad_pc_docs\OFR-002-r0a.htm,OK,utf-8,1080,72%,43,
OVR-002-r0a.htm,Ar_appr_docs\Ar_ad_pc\ad_pc_docs\OVR-002-r0a.htm,OK,utf-8,1167,75%,48,
PT-009-r0a.htm,Ar_appr_docs\Ar_ad_subst\ad_ss_docs\PT-009-r0a.htm,OK,utf-8,1898,98%,54,
RPR-002-r0a.htm,Ar_appr_docs\Ar_ad_pc\ad_pc_docs\RPR-002-r0a.htm,OK,utf-8,2000,73%,93,
RPR-004-r0a.htm,Ar_appr_docs\Ar_ad_pc\ad_pc_docs\RPR-004-r0a.htm,OK,utf-8,2311,74%,113,
T-002-r0a.htm,Ar_appr_docs\Ar_ad_subst\ad_ss_docs\T-002-r0a.htm,OK,utf-8,2295,99%,59,
T-003-r0a.htm,Ar_appr_docs\Ar_ad_subst\ad_ss_docs\T-003-r0a.htm,OK,utf-8,5949,91%,314,
T-004-r1a.htm,Ar_appr_docs\Ar_ad_subst\ad_ss_docs\T-004-r1a.htm,OK,utf-8,1583,99%,52,
T-005-r0a.htm,Ar_appr_docs\Ar_ad_subst\ad_ss_docs\T-005-r0a.htm,OK,utf-8,4782,93%,232,
T-022-r0a.htm,Ar_appr_docs\Ar_ad_subst\ad_ss_docs\new_translated\T-022-r0a.htm,OK,utf-8,2335,94%,24,
T-024-r0a.htm,Ar_appr_docs\Ar_ad_subst\ad_ss_docs\new_translated\T-024-r0a.htm,OK,utf-8,2663,96%,16,
T-025-r0a.htm,Ar_appr_docs\Ar_ad_subst\ad_ss_docs\new_translated\T-025-r0a.htm,OK,utf-8,2109,90%,32,
T-026-r0a.htm,Ar_appr_docs\Ar_ad_subst\ad_ss_docs\new_translated\T-026-r0a.htm,OK,utf-8,2161,96%,14,
T-027-r0a.htm,Ar_appr_docs\Ar_ad_subst\ad_ss_docs\new_translated\T-027-r0a.htm,OK,utf-8,1663,91%,27,
T-041-r0a.htm,Ar_appr_docs\Ar_ad_subst\ad_ss_docs\T-041-r0a.htm,OK,utf-8,1012,97%,31,
T-042-r0a.htm,Ar_appr_docs\Ar_ad_subst\ad_ss_docs\T-042-r0a.htm,OK,utf-8,2214,99%,43,
T-043-r0a.htm,Ar_appr_docs\Ar_ad_subst\ad_ss_docs\T-043-r0a.htm,OK,utf-8,4614,99%,76,
T-044-r0a.htm,Ar_appr_docs\Ar_ad_subst\ad_ss_docs\T-044-r0a.htm,OK,utf-8,1434,98%,29,
T-045-r0a.htm,Ar_appr_docs\Ar_ad_subst\ad_ss_docs\T-045-r0a.htm,OK,utf-8,2566,99%,46,
T-046-r0a.htm,Ar_appr_docs\Ar_ad_subst\ad_ss_docs\T-046-r0a.htm,OK,utf-8,4184,99%,68,
TD-SS-001-r1a.htm,Ar_appr_docs\Ar_ad_subst\ad_ss_docs\TD-SS-001-r1a.htm,OK,utf-8,859,97%,20,
TD-TL-002-r0a.htm,Ar_appr_docs\Ar_ad_trans\ad_il_docs\TD-TL-002-r0a.htm,OK,utf-8,1730,99%,29,
TD-TL-003-r0a.htm,Ar_appr_docs\Ar_ad_trans\ad_il_docs\TD-TL-003-r0a.htm,OK,utf-8,1695,99%,45,
TD-TL-04-r0a.htm,Ar_appr_docs\Ar_ad_trans\ad_il_docs\TD-TL-04-r0a.htm,OK,utf-8,2370,99%,43,
TL-000-r0a_032.htm,Ar_appr_docs\Ar_ad_trans\ad_il_docs\TL-000-r0a_032.htm,OK,utf-8,1804,100%,49,
TL-001-r0a.htm,Ar_appr_docs\Ar_ad_trans\ad_il_docs\TL-001-r0a.htm,OK,utf-8,5500,97%,94,
TL-005-r0a.htm,Ar_appr_docs\Ar_ad_trans\ad_il_docs\TL-005-r0a.htm,OK,utf-8,3161,99%,69,
TL-006-r0a.htm,Ar_appr_docs\Ar_ad_trans\ad_il_docs\TL-006-r0a.htm,OK,utf-8,3694,99%,73,
TL-011-r0a.htm,Ar_appr_docs\Ar_ad_trans\ad_il_docs\TL-011-r0a.htm,OK,utf-8,1522,99%,34,
TL-014-r0a.htm,Ar_appr_docs\Ar_ad_trans\ad_il_docs\TL-014-r0a.htm,OK,utf-8,3839,95%,81,
TL-015-r0a.htm,Ar_appr_docs\Ar_ad_trans\ad_il_docs\TL-015-r0a.htm,OK,utf-8,5019,100%,90,
TL-032-01a.htm,Ar_appr_docs\Ar_ad_trans\ad_il_docs\TL-032-01a.htm,OK,utf-8,3164,99%,79,
TL-033-r0a.htm,Ar_appr_docs\Ar_ad_trans\ad_il_docs\TL-033-r0a.htm,OK,utf-8,1910,98%,42,
TL-034-r0a.htm,Ar_appr_docs\Ar_ad_trans\ad_il_docs\TL-034-r0a.htm,OK,utf-8,4135,100%,81,
TL-035-r0a.htm,Ar_appr_docs\Ar_ad_trans\ad_il_docs\TL-035-r0a.htm,OK,utf-8,4344,99%,83,
TL-038-r0a.htm,Ar_appr_docs\Ar_ad_trans\ad_il_docs\TL-038-r0a.htm,OK,utf-8,2102,98%,49,
TL-039-r0a.htm,Ar_appr_docs\Ar_ad_trans\ad_il_docs\TL-039-r0a.htm,OK,utf-8,2125,97%,52,
TL-040-r0a.htm,Ar_appr_docs\Ar_ad_trans\ad_il_docs\TL-040-r0a.htm,OK,utf-8,2963,97%,80,
TL-041-r0a.htm,Ar_appr_docs\Ar_ad_trans\ad_il_docs\TL-041-r0a.htm,OK,utf-8,3161,97%,73,
TL-042-r0a.htm,Ar_appr_docs\Ar_ad_trans\ad_il_docs\TL-042-r0a.htm,OK,utf-8,4249,100%,72,
TL-043-r0a.htm,Ar_appr_docs\Ar_ad_trans\ad_il_docs\TL-043-r0a.htm,OK,utf-8,4526,100%,78,
TL-044-r0a.htm,Ar_appr_docs\Ar_ad_trans\ad_il_docs\TL-044-r0a.htm,OK,utf-8,2095,99%,42,
TL-045-r0a.htm,Ar_appr_docs\Ar_ad_trans\ad_il_docs\TL-045-r0a.htm,OK,utf-8,1895,98%,40,
TL-046-r0a.htm,Ar_appr_docs\Ar_ad_trans\ad_il_docs\TL-046-r0a.htm,OK,utf-8,3446,100%,83,
TL-047-r0a.htm,Ar_appr_docs\Ar_ad_trans\ad_il_docs\TL-047-r0a.htm,OK,utf-8,1592,99%,40,
TL-14-r0a.htm,Ar_appr_docs\Ar_ad_trans\ad_il_docs\TL-14-r0a.htm,OK,utf-8,3146,84%,71,
TL-Option 02a.htm,Ar_draf_docs\Ar_draf_trans\draf_tl_docs\TL-Option 02a.htm,OK,utf-8,2395,99%,51,
UFR -002-r0a.htm,Ar_appr_docs\Ar_ad_pc\ad_pc_docs\UFR -002-r0a.htm,OK,utf-8,1093,71%,43,
UVR-001-r0a.htm,Ar_appr_docs\Ar_ad_pc\ad_pc_docs\UVR-001-r0a.htm,OK,utf-8,1178,69%,50,
UVR-002-r0a.htm,Ar_appr_docs\Ar_ad_pc\ad_pc_docs\UVR-002-r0a.htm,OK,utf-8,3319,84%,103,
UVR-003-r0a.htm,Ar_appr_docs\Ar_ad_pc\ad_pc_docs\UVR-003-r0a.htm,OK,utf-8,1807,78%,62,
UVR-012-r0a.htm,Ar_appr_docs\Ar_ad_pc\ad_pc_docs\UVR-012-r0a.htm,OK,utf-8,1577,68%,67,
UVR-013-r0a.htm,Ar_appr_docs\Ar_ad_pc\ad_pc_docs\UVR-013-r0a.htm,OK,utf-8,1583,68%,65,
b-016-r0a.htm,Ar_appr_docs\Ar_ad_subst\ad_ss_docs\b-016-r0a.htm,OK,utf-8,1719,98%,45,
b-017-r0a.htm,Ar_appr_docs\Ar_ad_subst\ad_ss_docs\b-017-r0a.htm,OK,utf-8,2815,98%,61,
b-018-r0a.htm,Ar_appr_docs\Ar_ad_subst\ad_ss_docs\b-018-r0a.htm,OK,utf-8,2015,98%,41,
b-027-r0a.htm,Ar_appr_docs\Ar_ad_subst\ad_ss_docs\b-027-r0a.htm,OK,utf-8,2550,100%,60,
cable-001-r0a.htm,Ar_appr_docs\Ar_ad_cables\cable-001-r0a.htm,OK,utf-8,1361,99%,36,
cable-tmp1-r0a.htm,Ar_appr_docs\Ar_ad_cables\cable-tmp1-r0a.htm,OK,utf-8,3005,97%,60,
cable-tmp2-r0a.htm,Ar_appr_docs\Ar_ad_cables\cable-tmp2-r0a.htm,OK,utf-8,1153,98%,34,
cable-tmp3-r0a.htm,Ar_appr_docs\Ar_ad_cables\cable-tmp3-r0a.htm,OK,utf-8,1227,98%,33,
cb-023-r0a.htm,Ar_appr_docs\Ar_ad_subst\ad_ss_docs\cb-023-r0a.htm,OK,utf-8,1081,94%,29,
cb-039-r0a.htm,Ar_appr_docs\Ar_ad_subst\ad_ss_docs\cb-039-r0a.htm,OK,utf-8,5058,83%,113,
cb-052-r0a.htm,Ar_appr_docs\Ar_ad_subst\ad_ss_docs\cb-052-r0a.htm,OK,utf-8,1708,94%,38,
cb-086-r0a.htm,Ar_appr_docs\Ar_ad_subst\ad_ss_docs\cb-086-r0a.htm,OK,utf-8,1068,97%,32,
cb-086-r0a.htm,Ar_draf_docs\Ar_draf_subst\draf_ss_docs\cb-086-r0a.htm,OK,utf-8,967,97%,27,
cb-087-r0a.htm,Ar_appr_docs\Ar_ad_subst\ad_ss_docs\cb-087-r0a.htm,OK,utf-8,1746,89%,44,
cb-087-r0a.htm,Ar_draf_docs\Ar_draf_subst\draf_ss_docs\cb-087-r0a.htm,OK,utf-8,1746,89%,44,
cb-092-r0a.htm,Ar_appr_docs\Ar_ad_subst\ad_ss_docs\cb-092-r0a.htm,OK,utf-8,2957,95%,59,
cb-146-r0a.htm,Ar_appr_docs\Ar_ad_subst\ad_ss_docs\cb-146-r0a.htm,OK,utf-8,1345,98%,33,
cb-148-r0a.htm,Ar_appr_docs\Ar_ad_subst\ad_ss_docs\cb-148-r0a.htm,OK,utf-8,1766,93%,41,
cb-149-r0a.htm,Ar_appr_docs\Ar_ad_subst\ad_ss_docs\cb-149-r0a.htm,OK,utf-8,1577,95%,34,
